Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,fAVG,fOPS,fHR,fRBI,fR,fSB,fSCORE
Christian Yelich,Brewers,130,580,44,100,97,30,13.80%,20.30%,0.342,0.355,0.329,0.429,0.671,0.442,174,8.5,65.2,-3.9,7.8,189,200,164,130,123,168,162
Cody Bellinger,Dodgers,156,660,47,121,115,15,14.40%,16.40%,0.324,0.302,0.305,0.406,0.629,0.415,162,1.4,55.3,3.4,7.8,146,173,176,174,169,120,160
Anthony Rendon,Nationals,146,646,34,117,126,5,12.40%,13.30%,0.279,0.323,0.319,0.412,0.598,0.413,154,0.4,46.5,4.2,7,171,163,124,200,160,87,151
Mike Trout,Angels,134,600,45,110,104,11,18.30%,20.00%,0.353,0.298,0.291,0.438,0.645,0.436,180,7.1,68.2,-0.3,8.6,120,193,168,147,145,107,147
Ronald Acuna Jr.,Braves,156,715,41,127,101,37,10.60%,26.30%,0.238,0.337,0.28,0.365,0.518,0.369,126,8.1,33,1.5,5.6,101,110,152,140,182,190,146
Alex Bregman,Astros,156,690,41,122,112,5,17.20%,12.00%,0.296,0.281,0.296,0.423,0.592,0.418,168,-2.1,58.2,4.8,8.5,129,165,152,166,171,87,145
Rafael Devers,Red Sox,156,702,32,129,115,8,6.80%,17.00%,0.244,0.339,0.311,0.361,0.555,0.377,132,2.3,31.4,4.9,5.9,157,123,116,174,187,97,142
Nolan Arenado,Rockies,155,662,41,102,118,3,9.40%,14.00%,0.269,0.312,0.315,0.379,0.583,0.392,128,2.5,27.1,12.5,5.9,164,143,152,181,127,81,141
Freddie Freeman,Braves,158,692,38,113,121,6,12.60%,18.40%,0.255,0.318,0.295,0.389,0.549,0.387,138,-0.1,34.9,-16.2,4,128,133,140,188,151,91,138
Xander Bogaerts,Red Sox,155,698,33,110,117,4,10.90%,17.50%,0.246,0.338,0.309,0.384,0.555,0.39,141,1,37.6,8.1,6.8,153,133,120,178,145,84,136
Ketel Marte,Diamondbacks,144,628,32,97,92,10,8.40%,13.70%,0.264,0.342,0.329,0.389,0.592,0.405,150,4.2,46,6.7,7.1,189,151,116,118,116,103,132
Peter Alonso,Mets,161,693,53,103,120,1,10.40%,26.40%,0.323,0.28,0.26,0.358,0.583,0.384,143,-2.2,37,-9.7,4.8,64,134,200,186,129,74,131
Nelson Cruz,Twins,120,521,41,81,108,0,10.70%,25.10%,0.328,0.351,0.311,0.392,0.639,0.417,163,-4.5,37.7,-12.3,4.3,157,171,152,157,80,71,131
Juan Soto,Nationals,150,659,34,110,110,12,16.40%,20.00%,0.266,0.312,0.282,0.401,0.548,0.394,142,-0.5,35.9,-7.5,4.8,104,137,124,162,145,110,130
Mookie Betts,Red Sox,150,706,29,135,80,16,13.70%,14.30%,0.229,0.309,0.295,0.391,0.524,0.38,135,5.6,37,6.3,6.6,128,123,104,89,200,123,128
Trevor Story,Rockies,145,656,35,111,85,23,8.80%,26.50%,0.26,0.361,0.294,0.363,0.554,0.38,121,5.9,23.8,15.1,5.8,126,124,128,101,147,145,128
DJ LeMahieu,Yankees,145,655,26,109,102,5,7.00%,13.70%,0.191,0.349,0.327,0.375,0.518,0.375,136,-0.8,29.2,2.8,5.4,186,114,92,142,142,87,127
J.D. Martinez,Red Sox,146,657,36,98,105,2,11.00%,21.00%,0.252,0.342,0.304,0.383,0.557,0.386,139,-4.6,28,-18.1,3.2,144,133,132,150,118,78,126
Jorge Soler,Royals,162,679,48,95,117,3,10.80%,26.20%,0.304,0.294,0.265,0.354,0.569,0.378,136,-0.7,30.6,-17.2,3.6,73,126,180,178,111,81,125
George Springer,Astros,122,556,39,96,96,6,12.10%,20.30%,0.299,0.305,0.292,0.383,0.591,0.4,156,0.9,40.9,6.4,6.5,122,148,144,128,114,91,124
Charlie Blackmon,Rockies,140,634,32,112,86,2,6.30%,16.40%,0.262,0.334,0.314,0.364,0.576,0.387,125,-4.5,16.7,-16.9,2,162,133,116,104,149,78,124
Marcus Semien,Athletics,162,747,33,123,92,10,11.60%,13.70%,0.237,0.294,0.285,0.369,0.522,0.373,137,1.7,37.5,14.1,7.6,110,113,120,118,173,103,123
Eugenio Suarez,Reds,159,662,49,87,103,3,10.60%,28.50%,0.301,0.312,0.271,0.358,0.572,0.381,133,-6.2,22.6,1.9,4.5,84,129,184,145,94,81,120
Josh Bell,Pirates,143,613,37,94,116,0,12.10%,19.20%,0.292,0.288,0.277,0.367,0.569,0.378,135,-5,23.7,-18.2,2.5,95,132,136,176,109,71,120
Bryce Harper,Phillies,157,682,35,98,114,15,14.50%,26.10%,0.25,0.313,0.26,0.372,0.51,0.365,125,-0.6,21.9,3,4.6,64,109,128,171,118,120,118
Trey Mancini,Orioles,154,679,35,106,97,1,9.30%,21.10%,0.244,0.326,0.291,0.364,0.535,0.373,132,-2.1,26.1,-13.4,3.6,120,116,128,130,136,74,117
Carlos Santana,Indians,158,686,34,110,93,4,15.70%,15.70%,0.234,0.293,0.281,0.397,0.515,0.38,135,1.5,31.9,-11.1,4.4,102,122,124,121,145,84,116
Yuli Gurriel,Astros,144,612,31,85,104,5,6.00%,10.60%,0.243,0.289,0.298,0.343,0.541,0.364,132,-2.6,22.2,-10.8,3.2,133,110,112,147,89,87,113
Jose Abreu,White Sox,159,693,33,85,123,2,5.20%,21.90%,0.219,0.32,0.284,0.33,0.503,0.344,117,-5.3,9.7,-15,1.9,108,89,120,193,89,78,113
Austin Meadows,Rays,138,591,33,83,89,12,9.10%,22.20%,0.268,0.331,0.291,0.364,0.558,0.38,142,-1,31,-10.3,4,120,126,120,111,85,110,112
Eduardo Escobar,Diamondbacks,158,699,35,94,118,5,7.20%,18.60%,0.242,0.283,0.269,0.32,0.511,0.341,109,2.9,11.1,3.9,3.7,81,88,128,181,109,87,112
Jonathan Villar,Orioles,162,714,24,111,73,40,8.50%,24.60%,0.179,0.341,0.274,0.339,0.453,0.335,107,10.5,17,-1.4,4,90,72,84,73,147,200,111
Starling Marte,Pirates,132,586,23,97,82,25,4.30%,16.00%,0.208,0.319,0.295,0.342,0.503,0.353,119,3.4,17.8,-5.7,3,128,94,80,94,116,152,111
Ozzie Albies,Braves,160,702,24,102,86,15,7.70%,16.00%,0.205,0.325,0.295,0.352,0.5,0.354,117,4.8,20.1,4.6,4.6,128,97,84,104,127,120,110
Francisco Lindor,Indians,143,654,32,101,74,22,7.00%,15.00%,0.234,0.291,0.284,0.335,0.518,0.349,114,-2,9.9,12.1,4.4,108,97,116,75,125,142,110
Gleyber Torres,Yankees,144,604,38,96,90,5,7.90%,21.40%,0.256,0.296,0.278,0.337,0.535,0.358,125,-0.5,18.7,-2.6,3.6,97,105,140,114,114,87,110
Anthony Rizzo,Cubs,146,613,27,89,94,5,11.60%,14.00%,0.227,0.306,0.293,0.405,0.52,0.39,141,-5.4,28.2,-6.9,4,124,127,96,123,98,87,109
Yoan Moncada,White Sox,132,559,25,83,79,10,7.20%,27.50%,0.233,0.406,0.315,0.367,0.548,0.379,141,3.5,32.6,6.1,5.7,164,123,88,87,85,103,108
Kris Bryant,Cubs,147,634,31,108,77,4,11.70%,22.90%,0.239,0.331,0.282,0.382,0.521,0.379,135,3.8,32.9,-4.1,4.8,104,118,112,82,140,84,107
Josh Donaldson,Braves,155,659,37,96,94,4,15.20%,23.50%,0.262,0.292,0.259,0.379,0.521,0.377,132,-3,24.9,4.5,4.9,63,117,136,123,114,84,106
Max Muncy,Dodgers,141,589,35,101,98,4,15.30%,25.30%,0.265,0.283,0.251,0.374,0.515,0.372,134,4.8,31.3,-0.8,4.8,48,112,128,133,125,84,105
Michael Brantley,Astros,148,637,22,88,90,3,8.00%,10.40%,0.191,0.32,0.311,0.372,0.503,0.367,133,0,27.2,-6.8,4.2,157,106,76,114,96,81,105
Jeff McNeil,Mets,133,567,23,83,75,5,6.20%,13.20%,0.214,0.337,0.318,0.384,0.531,0.384,143,-2.9,29.4,-0.8,4.6,169,123,80,77,85,87,104
Jose Altuve,Astros,124,548,31,89,74,6,7.50%,15.00%,0.252,0.303,0.298,0.353,0.55,0.374,138,-5,21.8,-4.8,3.5,133,118,112,75,98,91,104
Trea Turner,Nationals,122,569,19,96,57,35,7.60%,19.90%,0.2,0.348,0.298,0.353,0.497,0.356,117,6.5,19.2,-1.5,3.5,133,96,64,34,114,184,104
Whit Merrifield,Royals,162,735,16,105,74,20,6.10%,17.10%,0.16,0.35,0.302,0.348,0.463,0.34,110,1.5,11.1,-7.4,2.9,140,80,52,75,134,136,103
Danny Santana,Rangers,130,511,28,81,81,21,4.90%,29.50%,0.251,0.353,0.283,0.324,0.534,0.352,111,4.6,11.6,-9.8,1.9,106,99,100,92,80,139,103
Javier Baez,Cubs,138,561,29,89,85,11,5.00%,27.80%,0.25,0.345,0.281,0.316,0.531,0.347,114,1.2,11.2,15.7,4.4,102,95,104,101,98,107,101
Jorge Polanco,Twins,153,704,22,107,79,4,8.50%,16.50%,0.19,0.328,0.295,0.356,0.485,0.352,119,3.1,20.6,-3.9,4,128,92,76,87,138,84,101
Tim Anderson,White Sox,123,518,18,81,56,17,2.90%,21.00%,0.173,0.399,0.335,0.357,0.508,0.363,130,1.7,21.4,-3.7,3.5,200,102,60,32,80,126,100
Paul Goldschmidt,Cardinals,161,682,34,97,97,3,11.40%,24.30%,0.216,0.303,0.26,0.346,0.476,0.346,116,3.2,17.3,-9.3,2.9,64,84,124,130,116,81,100
Matt Chapman,Athletics,156,670,36,102,91,1,10.90%,21.90%,0.257,0.27,0.249,0.342,0.506,0.354,125,0.9,22.4,17.1,6.1,44,95,132,116,127,74,98
Max Kepler,Twins,134,596,36,98,90,1,10.10%,16.60%,0.267,0.244,0.252,0.336,0.519,0.355,121,-1.8,14.4,10,4.4,50,98,132,114,118,74,98
Michael Conforto,Mets,151,648,33,90,92,7,13.00%,23.00%,0.237,0.29,0.257,0.363,0.494,0.358,126,1.4,23.6,-6,3.7,59,99,120,118,100,94,98
Nicholas Castellanos,- - -,151,664,27,100,73,2,6.20%,21.50%,0.236,0.337,0.289,0.337,0.525,0.357,121,-0.5,18.3,-12.6,2.8,117,101,96,73,123,78,98
Matt Olson,Athletics,127,547,36,73,91,0,9.30%,25.20%,0.277,0.3,0.267,0.351,0.545,0.368,134,-0.5,23.5,-3,3.9,77,115,132,116,63,71,96
Kyle Schwarber,Cubs,155,610,38,82,92,2,11.50%,25.60%,0.282,0.276,0.25,0.339,0.531,0.357,120,-2.3,13.8,-7.1,2.6,46,104,140,118,83,78,95
J.T. Realmuto,Phillies,145,593,25,92,83,9,6.90%,20.70%,0.217,0.309,0.275,0.328,0.493,0.34,108,5.4,11.7,27.8,5.7,92,84,88,97,105,100,94
Bryan Reynolds,Pirates,134,546,16,83,68,3,8.40%,22.20%,0.189,0.387,0.314,0.377,0.503,0.371,131,0.7,22.8,-7.6,3.2,162,109,52,61,85,81,92
Justin Turner,Dodgers,135,549,27,80,67,2,9.30%,16.00%,0.219,0.304,0.29,0.372,0.509,0.37,132,-1.1,22.3,-5.3,3.4,119,109,96,58,78,78,90
Hunter Dozier,Royals,139,586,26,75,84,2,9.40%,25.30%,0.243,0.339,0.279,0.348,0.522,0.36,124,-2.1,15.6,-5.7,3,99,104,92,99,67,78,90
Mike Moustakas,Brewers,143,584,35,80,87,3,9.10%,16.80%,0.262,0.25,0.254,0.329,0.516,0.348,113,-2.2,7.8,2,2.8,54,94,128,106,78,81,90
Tommy Pham,Rays,145,654,21,77,68,25,12.40%,18.80%,0.176,0.316,0.273,0.369,0.45,0.349,121,0.6,18.5,-7.5,3.3,88,83,72,61,72,152,88
Ryan Braun,Brewers,144,508,22,70,75,11,6.70%,20.70%,0.22,0.325,0.285,0.343,0.505,0.354,117,-0.7,10.5,-6.9,1.9,110,95,76,77,56,107,87
Manny Machado,Padres,156,661,32,81,85,5,9.80%,19.40%,0.206,0.274,0.256,0.334,0.462,0.335,108,-1.7,5.4,4.9,3.1,57,74,116,101,80,87,86
Joc Pederson,Dodgers,149,514,36,83,74,1,9.70%,21.60%,0.289,0.249,0.249,0.339,0.538,0.362,127,0.1,18.4,-3.7,3,44,107,132,75,85,74,86
Christian Walker,Diamondbacks,152,603,29,86,73,8,11.10%,25.70%,0.217,0.312,0.259,0.348,0.476,0.346,112,2.6,12,-8.4,2.2,63,85,104,73,92,97,86
Shin-Soo Choo,Rangers,151,660,24,93,61,15,11.80%,25.00%,0.19,0.333,0.265,0.371,0.455,0.353,112,3.8,13.8,-19.2,1.7,73,86,84,44,107,120,86
Jose Ramirez,Indians,129,542,23,68,83,24,9.60%,13.70%,0.224,0.256,0.255,0.327,0.479,0.334,104,6.7,9.6,5.7,3.3,55,78,80,97,52,149,85
Marcell Ozuna,Cardinals,130,549,29,80,89,12,11.30%,20.80%,0.231,0.257,0.241,0.328,0.472,0.336,109,1.6,8.1,0,2.5,30,75,104,111,78,110,85
Brett Gardner,Yankees,141,550,28,86,74,10,9.50%,19.60%,0.253,0.265,0.251,0.325,0.503,0.344,115,4.6,15.2,2.5,3.6,48,87,100,75,92,103,84
Corey Seager,Dodgers,134,541,19,82,87,1,8.10%,18.10%,0.211,0.303,0.272,0.335,0.483,0.34,113,3.4,12.6,4.1,3.3,86,83,64,106,83,74,83
Paul DeJong,Cardinals,159,664,30,97,78,9,9.30%,22.40%,0.211,0.259,0.233,0.318,0.444,0.322,100,2.3,2.2,18.5,4.1,16,59,108,85,116,100,81
Amed Rosario,Mets,157,655,15,75,72,19,4.70%,18.90%,0.144,0.338,0.287,0.323,0.432,0.318,100,1.3,1.1,5.9,2.7,113,57,48,70,67,132,81
Eloy Jimenez,White Sox,122,504,31,69,79,0,6.00%,26.60%,0.246,0.308,0.267,0.315,0.513,0.343,116,1.8,12.3,-11,1.9,77,87,112,87,54,71,81
Yasmani Grandal,Brewers,153,632,28,79,77,5,17.20%,22.00%,0.222,0.279,0.246,0.38,0.468,0.361,121,-5.1,12.6,20.6,5.2,39,95,100,82,76,87,80
Adam Eaton,Nationals,151,656,15,103,49,15,9.90%,16.20%,0.148,0.319,0.279,0.365,0.428,0.342,107,3.5,10,-7,2.3,99,72,48,15,129,120,80
Kole Calhoun,Angels,152,632,33,92,74,4,11.10%,25.60%,0.236,0.265,0.232,0.325,0.467,0.33,108,-1.2,4.9,-1.1,2.5,14,72,120,75,105,84,78
Victor Robles,Nationals,155,617,17,86,65,28,5.70%,22.70%,0.165,0.31,0.255,0.326,0.419,0.317,91,4.2,-3,8.5,2.5,55,52,56,53,92,161,78
Kevin Newman,Pirates,130,531,12,61,64,16,5.30%,11.70%,0.138,0.333,0.308,0.353,0.446,0.339,110,-0.2,6.7,0.5,2.4,151,75,35,51,36,123,78
Rhys Hoskins,Phillies,160,705,29,86,85,2,16.50%,24.50%,0.228,0.267,0.226,0.364,0.454,0.347,113,-2.7,9.2,-9.8,2.2,3,83,104,101,92,78,77
Avisail Garcia,Rays,125,530,20,61,72,10,5.80%,23.60%,0.182,0.34,0.282,0.332,0.464,0.334,112,-3.5,4.3,-4.2,1.8,104,74,68,70,36,103,76
Christian Vazquez,Red Sox,138,521,23,66,72,4,6.30%,19.40%,0.201,0.305,0.276,0.32,0.477,0.331,102,-4.2,-3.1,20.8,3.5,93,74,80,70,47,84,75
Nick Ahmed,Diamondbacks,158,625,19,79,82,8,8.30%,18.10%,0.183,0.28,0.254,0.316,0.437,0.315,92,2.2,-4.8,9,2.4,54,56,64,94,76,97,74
Asdrubal Cabrera,- - -,131,514,18,69,91,4,11.10%,20.00%,0.181,0.294,0.26,0.342,0.441,0.331,98,-4.2,-5.4,6.9,1.9,64,68,60,116,54,84,74
Kolten Wong,Cardinals,148,549,11,61,59,24,8.60%,15.10%,0.138,0.321,0.285,0.361,0.423,0.334,108,7.1,12.9,7.2,3.7,110,69,31,39,36,149,72
Cesar Hernandez,Phillies,161,667,14,77,71,9,6.70%,15.00%,0.129,0.313,0.279,0.333,0.408,0.315,92,1.5,-5.5,1.6,1.7,99,51,43,68,72,100,72
Luke Voit,Yankees,118,510,21,72,62,0,13.90%,27.80%,0.2,0.345,0.263,0.378,0.464,0.36,126,-3.8,12.9,-13.6,1.7,70,93,72,46,61,71,69
Jean Segura,Phillies,144,618,12,79,60,10,4.90%,11.80%,0.141,0.302,0.28,0.323,0.42,0.315,92,5.7,-0.9,5,2.3,101,52,35,41,76,103,68
Andrew Benintendi,Red Sox,138,615,13,72,68,10,9.60%,22.80%,0.165,0.333,0.266,0.343,0.431,0.33,100,2.7,3.1,-4.1,2,75,64,39,61,61,103,67
Jason Heyward,Cubs,147,589,21,78,62,8,11.50%,18.70%,0.177,0.281,0.251,0.343,0.429,0.328,101,2.1,2.6,-1.7,1.9,48,64,72,46,74,97,67
Brian Anderson,Marlins,126,520,20,57,66,5,8.50%,21.90%,0.207,0.305,0.261,0.342,0.468,0.342,114,-0.3,9.6,5,3.1,66,79,68,56,27,87,64
Hanser Alberto,Orioles,139,550,12,62,51,4,2.90%,9.10%,0.116,0.318,0.305,0.329,0.422,0.318,96,-1.7,-4.7,4.8,1.9,146,55,35,20,38,84,63
David Fletcher,Angels,154,653,6,83,49,8,8.40%,9.80%,0.094,0.317,0.29,0.35,0.384,0.318,99,-0.8,-1.4,13.6,3.4,119,48,11,15,85,97,62
Adam Frazier,Pirates,152,608,10,80,50,5,6.60%,12.30%,0.139,0.306,0.278,0.336,0.417,0.32,97,0.7,-1.6,4.9,2.2,97,56,27,17,78,87,60
Evan Longoria,Giants,129,508,20,59,69,3,8.50%,22.00%,0.183,0.291,0.254,0.325,0.437,0.322,101,-1.3,-0.6,4.6,2,54,59,68,63,32,81,60
Daniel Vogelbach,Mariners,144,558,30,73,76,0,16.50%,26.70%,0.232,0.232,0.208,0.341,0.439,0.333,111,-0.1,7.7,-11.2,1.6,-30,67,108,80,63,71,60
Jose Iglesias,Reds,146,530,11,62,59,6,3.80%,13.20%,0.119,0.315,0.288,0.318,0.407,0.306,84,-1.9,-13,11.9,1.6,115,44,31,39,38,91,60
Willy Adames,Rays,152,584,20,69,52,4,7.90%,26.20%,0.164,0.32,0.254,0.317,0.418,0.313,97,2.2,0,8.5,2.8,54,48,68,22,54,84,55
Miguel Rojas,Marlins,132,526,5,52,46,9,6.10%,11.80%,0.095,0.314,0.284,0.331,0.379,0.305,90,-2.9,-9.8,12.6,1.9,108,38,7,8,16,100,46
