"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","SO","WHIP","playerid"
"Tommy Hunter","NYM","0","0","0.00","4","1","0","0","0","0","8.0","33","4","0","0","0","3","0","1","1","6","0.88","1157"
"Oliver Perez","CLE","0","1","0.00","5","0","0","0","0","0","3.2","18","5","1","0","0","1","1","0","0","4","1.64","1514"
"Anthony Rizzo","CHC","0","0","0.00","1","0","0","0","0","0","0.2","3","0","0","0","0","1","0","0","0","1","1.50","3473"
"Pedro Strop","CHC","1","0","0.00","2","0","0","0","0","0","2.0","10","2","0","0","0","2","0","0","0","3","2.00","4070"
"Asdrubal Cabrera","ARI","0","0","0.00","2","0","0","0","0","0","1.1","4","1","0","0","0","0","0","0","0","0","0.75","4962"
"Hernan Perez","WSN","0","0","0.00","2","0","0","0","0","0","2.0","7","1","0","0","0","0","0","0","0","2","0.50","5751"
"Eric Sogard","CHC","0","0","0.00","1","0","0","0","0","0","1.0","6","2","0","0","0","0","0","1","0","0","2.00","7927"
"Matt Carpenter","STL","0","0","0.00","1","0","0","0","0","0","1.1","6","2","0","0","0","0","0","1","0","0","1.50","8090"
"Mike Freeman","CIN","0","0","0.00","1","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","1","0.00","11241"
"Hanser Alberto","KCR","0","0","0.00","1","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0.00","11902"
"Domingo Tapia","SEA","0","0","0.00","2","0","0","0","0","0","2.0","11","4","0","0","0","1","0","0","0","1","2.50","12178"
"Phillip Evans","PIT","0","0","0.00","1","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0.00","12950"
"Dominic Leone","SFG","0","0","0.00","1","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","2","1.00","13763"
"Matt Duffy","CHC","0","0","0.00","1","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0.00","13836"
"Daniel Robertson","MIL","0","0","0.00","1","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1.00","14145"
"Wyatt Mathisen","ARI","0","0","0.00","1","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1.00","14555"
"James Hoyt","LAA","0","0","0.00","2","0","0","0","0","0","1.2","9","1","0","0","0","3","0","0","0","2","2.40","14605"
"Harold Castro","DET","0","0","0.00","1","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","1.00","14691"
"Pat Valaika","BAL","0","0","0.00","1","0","0","0","0","0","1.0","4","0","0","0","0","0","0","0","0","0","0.00","14885"
"Ashton Goudeau","CIN","0","0","0.00","2","0","0","0","0","0","4.0","14","1","0","0","0","1","0","0","0","2","0.50","15139"
"Jack Mayfield","SEA","0","0","0.00","1","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0.00","15402"
"Kohl Stewart","CHC","1","0","0.00","1","1","0","0","0","0","5.0","19","3","1","0","0","1","0","1","0","2","0.80","15502"
"Kendall Graveman","SEA","1","0","0.00","14","0","0","0","5","0","16.2","58","6","0","0","0","3","0","1","1","17","0.54","15514"
"Brad Wieck","CHC","0","0","0.00","6","0","0","0","0","0","6.0","24","5","0","0","0","1","0","0","0","7","1.00","16390"
"Julian Merryweather","TOR","0","0","0.00","4","0","0","0","2","0","4.1","14","1","0","0","0","1","0","0","0","7","0.46","16703"
"Josh Fuentes","COL","0","0","0.00","1","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1.00","16885"
"Ranger Suarez","PHI","0","0","0.00","9","0","0","0","0","0","14.1","54","6","1","0","0","4","0","2","0","12","0.70","17277"
"Ryan Burr","CHW","0","0","0.00","2","0","0","0","0","0","2.1","7","0","0","0","0","0","0","0","1","3","0.00","17536"
"Trevor Megill","CHC","0","0","0.00","2","0","0","0","0","0","2.0","9","2","0","0","0","1","0","0","1","2","1.50","17722"
"Max Schrock","CIN","0","0","0.00","1","0","0","0","0","0","0.2","3","0","0","0","0","0","0","0","0","0","0.00","17750"
"Jake Cronenworth","SDP","0","0","0.00","1","0","0","0","0","0","0.2","3","1","0","0","0","0","0","0","0","1","1.50","18036"
"Ka'ai Tom","OAK","0","0","0.00","1","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1.00","18136"
"Art Warren","CIN","0","0","0.00","2","0","0","0","0","0","2.0","8","0","0","0","0","2","0","0","0","2","1.00","18251"
"Danny Mendick","CHW","0","0","0.00","1","0","0","0","0","0","1.0","5","1","0","0","0","0","0","1","0","1","1.00","18889"
"Tommy Nance","CHC","0","0","0.00","8","0","0","0","0","0","7.0","26","2","0","0","0","3","0","0","1","8","0.71","19178"
"Conner Menez","SFG","0","0","0.00","1","0","0","0","0","0","2.0","6","0","0","0","0","0","0","0","0","2","0.00","19199"
"Jose Quijada","LAA","0","0","0.00","2","0","0","0","0","0","3.1","14","1","0","0","0","3","1","0","1","5","1.20","19200"
"A.J. Puk","OAK","0","0","0.00","1","0","0","0","0","0","3.1","14","1","0","0","0","3","0","0","1","4","1.20","19343"
"Devin Smeltzer","MIN","0","0","0.00","1","0","0","0","0","0","4.2","17","1","1","0","0","1","0","2","0","3","0.43","19487"
"Anthony Bender","MIA","0","0","0.00","11","0","0","0","0","0","11.2","43","6","1","0","0","2","0","0","1","14","0.69","19742"
"Yennsy Diaz","NYM","0","0","0.00","2","0","0","0","0","0","2.0","7","0","0","0","0","2","0","0","0","3","1.00","20218"
"Ramon Rosso","PHI","0","0","0.00","1","0","0","0","0","0","1.1","4","1","0","0","0","0","0","0","0","0","0.75","20368"
"Rony Garcia","DET","0","0","0.00","1","0","0","0","0","0","3.0","9","0","0","0","0","1","0","0","0","2","0.33","20430"
"Peter Solomon","HOU","0","0","0.00","2","0","0","0","0","0","2.0","8","1","0","0","0","1","0","0","0","2","1.00","20476"
"Kyle Nelson","CLE","0","0","0.00","5","0","0","0","0","0","5.0","19","1","0","0","0","3","0","0","0","5","0.80","20515"
"Jean Carlos Mejia","CLE","1","0","0.00","3","0","0","0","0","0","5.0","16","1","0","0","0","1","0","0","0","7","0.40","20617"
"Eduard Bazardo","BOS","0","0","0.00","2","0","0","0","0","0","3.0","12","1","0","0","0","2","0","0","0","3","1.00","20997"
"Aroldis Chapman","NYY","4","0","0.41","22","0","0","0","12","1","22.0","81","6","2","1","1","11","1","0","1","42","0.77","10233"
"Dan Winkler","CHC","1","0","0.46","22","0","0","0","0","0","19.2","82","11","1","1","0","11","0","4","1","19","1.12","12237"
"Caleb Baragar","SFG","2","1","0.52","21","0","0","0","0","1","17.1","74","13","3","1","0","11","2","1","0","14","1.38","19231"
"Keegan Thompson","CHC","3","1","0.52","10","1","0","0","0","1","17.1","71","14","2","1","1","9","1","0","1","17","1.33","19795"
"Garrett Crochet","CHW","1","2","0.57","15","0","0","0","0","0","15.2","71","13","4","1","0","9","1","1","2","17","1.40","27463"
"Alex Reyes","STL","3","1","0.62","27","0","0","0","16","0","29.0","126","14","3","2","1","26","1","0","7","40","1.38","15015"
"Erik Swanson","SEA","0","0","0.69","9","2","0","0","1","0","13.0","47","4","1","1","1","6","0","0","0","14","0.77","16587"
"Jacob deGrom","NYM","4","2","0.71","8","8","1","1","0","0","51.0","179","22","7","4","3","7","0","0","0","82","0.57","10954"
"Mark Melancon","SDP","1","0","0.74","23","0","0","0","17","2","24.1","95","14","4","2","1","9","2","0","0","19","0.95","4264"
"Craig Kimbrel","CHC","1","2","0.78","23","0","0","0","13","2","23.0","88","10","5","2","1","8","0","0","2","39","0.78","6655"
"Josh Hader","MIL","3","0","0.83","22","0","0","0","12","0","21.2","82","9","2","2","0","8","0","0","3","37","0.78","14212"
"David Phelps","TOR","0","0","0.87","11","1","0","0","0","0","10.1","42","8","2","1","0","4","0","1","0","15","1.16","6316"
"Luke Farrell","MIN","0","0","1.13","6","0","0","0","0","0","8.0","33","7","1","1","1","3","0","0","0","8","1.25","15101"
"A.J. Cole","TOR","0","0","1.13","6","0","0","0","1","1","8.0","30","6","1","1","1","1","0","0","0","7","0.88","11467"
"Emmanuel Clase","CLE","3","2","1.14","25","0","0","0","9","1","23.2","105","22","7","3","0","12","2","0","2","24","1.44","21032"
"Bryan Shaw","CLE","1","0","1.25","23","0","0","0","1","0","21.2","90","7","3","3","1","17","0","0","3","26","1.11","8110"
"Brandon Woodruff","MIL","4","2","1.27","11","11","0","0","0","0","71.0","261","33","11","10","3","16","0","3","2","83","0.69","16162"
"Luke Jackson","ATL","1","1","1.29","23","0","0","0","0","2","21.0","85","15","3","3","2","10","1","0","1","20","1.19","11752"
"Lance Lynn","CHW","6","1","1.37","9","9","1","1","0","0","52.2","212","34","11","8","4","15","1","1","1","57","0.93","2520"
"Andrew Kittredge","TBR","5","1","1.38","19","2","0","0","2","0","26.0","102","17","6","4","2","7","2","2","1","23","0.92","12828"
"Kevin Gausman","SFG","6","0","1.40","11","11","0","0","0","0","70.2","269","41","11","11","4","16","0","0","2","83","0.81","14107"
"Dillon Maples","CHC","0","0","1.45","14","0","0","0","0","0","18.2","77","7","4","3","2","12","0","3","4","27","1.02","14672"
"Nick Tropeano","SFG","1","0","1.50","4","0","0","0","0","0","6.0","23","4","2","1","0","2","0","0","1","2","1.00","12385"
"Pete Fairbanks","TBR","1","0","1.50","13","0","0","0","1","0","12.0","54","9","2","2","0","8","0","0","1","14","1.42","17998"
"Kris Bubic","KCR","1","0","1.52","7","3","0","0","0","0","29.2","116","19","5","5","1","14","0","0","0","22","1.11","21455"
"Miguel Diaz","SDP","2","1","1.53","8","1","0","0","1","0","17.2","70","10","5","3","2","8","0","0","0","19","1.02","18815"
"John Gant","STL","4","3","1.60","10","10","0","0","0","0","50.2","224","43","12","9","1","34","1","2","0","39","1.52","13684"
"Tejay Antone","CIN","1","0","1.61","17","0","0","0","3","2","28.0","102","10","5","5","2","10","0","3","1","37","0.71","16233"
"Richard Rodriguez","PIT","3","1","1.61","21","0","0","0","6","1","22.1","79","11","4","4","0","2","0","0","2","17","0.58","13549"
"Tyler Rogers","SFG","1","0","1.63","27","0","0","0","6","3","27.2","112","22","6","5","2","5","0","3","0","14","0.98","15541"
"Framber Valdez","HOU","1","0","1.64","2","2","0","0","0","0","11.0","46","7","2","2","1","4","0","1","0","14","1.00","17295"
"Casey Sadler","SEA","0","1","1.64","11","0","0","0","0","0","11.0","46","8","3","2","0","6","0","0","2","10","1.27","11209"
"Travis Bergen","TOR","2","0","1.69","10","1","0","0","0","1","10.2","46","5","2","2","1","8","0","2","0","6","1.22","18581"
"Taylor Williams","SDP","0","0","1.69","5","0","0","0","0","0","5.1","23","3","1","1","0","3","0","2","0","6","1.13","14899"
"Michael Kopech","CHW","2","0","1.72","14","3","0","0","0","0","31.1","125","20","6","6","3","11","1","0","2","45","0.99","17282"
"Garrett Whitlock","BOS","0","1","1.73","14","0","0","0","1","0","26.0","106","23","6","5","3","7","0","1","2","27","1.15","20191"
"Anthony Castro","TOR","1","1","1.74","10","0","0","0","1","0","10.1","44","7","3","2","0","4","2","2","2","12","1.06","19789"
"Cole Sulser","BAL","1","0","1.74","18","0","0","0","1","0","20.2","82","13","4","4","2","8","0","0","3","32","1.02","15256"
"Ian Kennedy","TEX","0","0","1.77","20","0","0","0","11","1","20.1","77","14","4","4","2","5","2","0","0","24","0.93","6986"
"Gerrit Cole","NYY","6","2","1.78","11","11","0","0","0","0","70.2","263","50","15","14","5","9","0","1","4","97","0.83","13125"
"Julio Teheran","DET","1","0","1.80","1","1","0","0","0","0","5.0","20","4","1","1","1","3","0","0","0","3","1.40","6797"
"Chase De Jong","PIT","0","0","1.80","1","1","0","0","0","0","5.0","20","3","1","1","0","2","1","0","0","5","1.00","15036"
"Vladimir Gutierrez","CIN","0","1","1.80","1","1","0","0","0","0","5.0","19","2","1","1","1","2","0","0","0","3","0.80","19278"
"Jordan Romano","TOR","3","1","1.83","21","0","0","0","3","1","19.2","81","11","6","4","0","11","0","0","0","26","1.12","16122"
"Taijuan Walker","NYM","4","1","1.84","9","9","0","0","0","0","49.0","189","27","12","10","1","19","0","1","1","49","0.94","11836"
"Trevor Rogers","MIA","6","3","1.87","11","11","0","0","0","0","62.2","249","47","15","13","3","22","0","2","2","76","1.10","22286"
"Kyle Crick","PIT","0","0","1.93","15","0","0","0","0","0","14.0","54","3","3","3","0","8","0","3","5","14","0.79","13182"
"Chad Green","NYY","0","3","1.93","24","0","0","0","2","1","28.0","100","14","8","6","4","7","0","0","2","26","0.75","15552"
"John King","TEX","5","3","1.93","19","0","0","0","0","1","28.0","120","31","10","6","1","5","1","3","0","24","1.29","22051"
"Brett Martin","TEX","0","2","1.93","20","0","0","0","0","1","18.2","84","22","7","4","1","6","4","0","4","17","1.50","17369"
"Danny Duffy","KCR","4","3","1.94","7","7","0","0","0","0","41.2","170","35","11","9","2","12","0","0","2","48","1.13","3542"
"Hector Neris","PHI","1","3","1.96","24","0","0","0","9","2","23.0","93","15","6","5","3","8","0","2","1","27","1.00","11804"
"Kenley Jansen","LAD","0","2","1.96","22","0","0","0","12","2","23.0","89","7","8","5","1","16","3","0","3","27","1.00","3096"
"Drew Pomeranz","SDP","0","0","1.98","14","0","0","0","0","0","13.2","56","9","3","3","1","7","1","0","0","20","1.17","11426"
"Carlos Rodon","CHW","5","2","1.98","9","9","1","1","0","0","54.2","215","32","13","12","6","13","1","5","2","80","0.82","16137"
"Sean Reid-Foley","NYM","1","0","1.98","6","0","0","0","0","0","13.2","54","11","3","3","0","4","1","0","1","20","1.10","17034"
"Zack Littell","SFG","0","0","1.98","15","0","0","0","0","0","13.2","54","10","3","3","2","4","0","1","0","12","1.02","15823"
"Jose Suarez","LAA","2","0","2.00","3","0","0","0","0","0","9.0","37","7","2","2","1","4","0","0","0","8","1.22","19911"
"Scott Barlow","KCR","2","1","2.00","25","0","0","0","1","1","27.0","115","20","6","6","0","12","0","2","2","41","1.19","14993"
"Justin Steele","CHC","2","0","2.03","11","0","0","0","0","0","13.1","56","7","4","3","2","7","2","2","0","21","1.05","17312"
"Jeurys Familia","NYM","2","0","2.04","19","0","0","0","1","1","17.2","81","19","5","4","0","9","0","0","0","20","1.58","5114"
"Liam Hendriks","CHW","1","1","2.05","23","0","0","0","13","2","22.0","86","15","7","5","4","3","1","0","0","36","0.82","3548"
"John Means","BAL","4","1","2.05","11","11","1","1","0","0","70.1","263","43","16","16","11","13","0","1","1","68","0.80","16269"
"Ryan Weathers","SDP","2","2","2.06","12","7","0","0","1","0","39.1","152","27","9","9","5","12","0","1","0","29","0.99","23796"
"Joe Musgrove","SDP","4","4","2.08","11","10","1","1","0","0","60.2","236","34","16","14","6","12","1","7","0","79","0.76","12970"
"Chris Martin","ATL","0","1","2.08","9","0","0","0","0","0","8.2","34","6","2","2","0","1","1","1","0","6","0.81","11847"
"Albert Abreu","NYY","0","0","2.08","4","0","0","0","0","0","8.2","32","2","2","2","1","4","0","0","3","10","0.69","17485"
"Cal Quantrill","CLE","0","1","2.08","18","1","0","0","0","0","30.1","126","28","7","7","2","11","0","2","2","25","1.29","19312"
"Paul Fry","BAL","0","1","2.08","22","0","0","0","1","2","21.2","85","12","5","5","0","10","0","0","2","32","1.02","15832"
"Jake Brentz","KCR","1","0","2.10","27","0","0","0","0","0","25.2","109","13","7","6","2","17","1","0","1","29","1.17","17783"
"Kyle Funkhouser","DET","0","0","2.13","9","0","0","0","0","0","12.2","48","6","4","3","1","4","0","1","3","11","0.79","19456"
"Andrew Chafin","CHC","0","1","2.13","27","0","0","0","0","1","25.1","100","14","6","6","1","9","1","2","1","25","0.91","12988"
"Yu Darvish","SDP","5","1","2.16","11","11","0","0","0","0","66.2","263","46","18","16","6","16","0","6","4","79","0.93","13074"
"Ryan Thompson","TBR","3","2","2.16","25","0","0","0","0","3","25.0","101","18","8","6","2","8","2","2","1","25","1.04","16647"
"Jonathan Loaisiga","NYY","4","2","2.20","23","0","0","0","2","1","28.2","112","22","9","7","2","7","0","2","3","25","1.01","19753"
"Corbin Burnes","MIL","2","4","2.24","9","9","0","0","0","0","52.1","198","31","14","13","2","7","0","4","1","81","0.73","19361"
"Kyle Gibson","TEX","3","0","2.24","10","10","0","0","0","0","60.1","239","42","16","15","3","19","0","2","2","48","1.01","10123"
"Trevor Bauer","LAD","6","3","2.24","12","12","1","0","0","0","76.1","294","40","22","19","13","23","0","3","3","96","0.83","12703"
"Miles Mikolas","STL","0","0","2.25","1","1","0","0","0","0","4.0","17","3","1","1","0","1","0","1","0","3","1.00","9803"
"Aaron Northcraft","SDP","1","0","2.25","5","0","0","0","0","0","8.0","34","5","2","2","1","8","0","0","0","5","1.63","10218"
"Reyes Moronta","SFG","0","0","2.25","4","0","0","0","0","0","4.0","13","1","1","1","1","0","0","0","0","2","0.25","14966"
"Paolo Espino","WSN","0","1","2.25","10","1","0","0","0","0","16.0","59","10","4","4","2","2","0","0","0","10","0.75","8246"
"Ryan Pressly","HOU","2","1","2.25","22","0","0","0","8","1","24.0","94","21","8","6","1","4","1","0","1","25","1.04","7005"
"Chris Rodriguez","LAA","2","0","2.30","8","0","0","0","0","0","15.2","65","9","4","4","0","8","0","3","1","17","1.09","22310"
"Scott Alexander","LAD","0","2","2.31","13","0","0","0","0","1","11.2","45","7","4","3","1","1","0","1","1","5","0.69","10591"
"JT Chargois","SEA","0","0","2.31","11","0","0","0","0","1","11.2","44","7","3","3","1","2","0","2","1","12","0.77","13767"
"Kyle Zimmer","KCR","3","0","2.33","17","0","0","0","2","0","19.1","72","9","5","5","1","9","0","0","4","18","0.93","14169"
"Max Scherzer","WSN","4","4","2.34","11","11","1","0","0","0","69.1","260","43","20","18","11","14","0","3","0","95","0.82","3137"
"Lucas Luetge","NYY","2","0","2.36","19","0","0","0","0","0","26.2","103","21","9","7","3","3","0","0","2","27","0.90","8337"
"Austin Adams","SDP","2","0","2.37","23","0","0","0","0","1","19.0","84","11","8","5","0","9","0","9","0","29","1.05","13801"
"Freddy Peralta","MIL","5","1","2.38","11","10","1","0","0","0","56.2","223","28","15","15","6","24","0","3","3","83","0.92","18679"
"Tim Hill","SDP","3","2","2.38","26","0","0","0","0","0","22.2","96","18","13","6","4","7","4","1","0","26","1.10","16814"
"Genesis Cabrera","STL","1","1","2.39","26","0","0","0","0","1","26.1","114","18","8","7","1","15","1","3","5","30","1.25","17490"
"Jimmy Nelson","LAD","1","1","2.41","16","1","0","0","0","1","18.2","77","11","6","5","0","11","0","1","4","30","1.18","10547"
"Victor Gonzalez","LAD","2","0","2.41","23","0","0","0","1","1","18.2","79","13","5","5","1","9","0","2","1","18","1.18","16408"
"Robert Gsellman","NYM","0","0","2.42","13","0","0","0","0","0","22.1","91","18","8","6","1","6","0","1","0","14","1.07","13696"
"Emilio Pagan","SDP","3","0","2.45","24","0","0","0","0","1","22.0","89","15","6","6","4","8","0","1","0","28","1.05","14771"
"Giovanny Gallegos","STL","3","1","2.45","26","0","0","0","1","4","33.0","124","17","9","9","2","8","1","3","4","39","0.76","14986"
"Ryan Buchter","ARI","0","0","2.45","3","0","0","0","0","0","3.2","16","3","1","1","1","2","1","0","0","5","1.36","9456"
"Ryan Tepera","CHC","0","0","2.45","26","0","0","0","1","2","25.2","96","12","7","7","2","6","0","2","1","30","0.70","10291"
"Nestor Cortes","NYY","0","0","2.45","1","0","0","0","0","0","3.2","18","3","2","1","0","4","0","0","0","3","1.91","17874"
"Drew Steckenrider","SEA","2","1","2.45","14","0","0","0","0","0","18.1","72","11","5","5","0","8","0","1","0","21","1.04","18806"
"Jordan Sheffield","COL","0","0","2.45","18","0","0","0","0","0","18.1","72","10","5","5","1","7","0","2","3","15","0.93","19682"
"Antonio Santos","COL","0","1","2.45","2","0","0","0","0","0","3.2","14","3","2","1","0","2","0","0","0","2","1.36","20383"
"Daniel Hudson","WSN","4","1","2.49","21","0","0","0","0","1","21.2","84","12","6","6","2","7","0","0","1","30","0.88","7146"
"Dinelson Lamet","SDP","1","0","2.50","7","5","0","0","0","0","18.0","78","19","6","5","1","7","0","0","1","21","1.44","17186"
"Zack Wheeler","PHI","4","2","2.52","11","11","1","1","0","0","75.0","290","54","22","21","6","16","0","3","2","92","0.93","10310"
"Jordan Holloway","MIA","1","2","2.55","8","2","0","0","0","0","17.2","73","11","6","5","0","10","0","0","1","14","1.19","20631"
"Kent Emanuel","HOU","1","0","2.55","10","0","0","0","0","0","17.2","68","12","5","5","4","4","0","1","0","13","0.91","15849"
"Aaron Loup","NYM","1","0","2.57","18","0","0","0","0","2","14.0","57","15","7","4","0","2","0","1","0","16","1.21","10343"
"Mitch White","LAD","0","0","2.61","9","0","0","0","0","2","10.1","48","10","10","3","1","5","1","0","1","10","1.45","19225"
"Hyun-Jin Ryu","TOR","5","2","2.62","10","10","0","0","0","0","58.1","232","53","18","17","6","8","0","0","0","58","1.05","14444"
"Taylor Widener","ARI","1","0","2.63","5","5","0","0","0","0","24.0","104","20","9","7","4","8","1","3","1","20","1.17","19266"
